GameWeek,HomeTeam,AwayTeam,HomeGoals,AwayGoals
1,Bournemouth,Aston Villa,0,1
1,Chelsea,Swansea,2,2
1,Everton,Watford,2,2
1,Leicester,Sunderland,4,2
1,Man United,Tottenham,1,0
1,Norwich,Crystal Palace,1,3
1,Arsenal,West Ham,0,2
1,Newcastle,Southampton,2,2
1,Stoke,Liverpool,0,1
1,West Brom,Man City,0,3
2,Aston Villa,Man United,0,1
2,Southampton,Everton,0,3
2,Sunderland,Norwich,1,3
2,Swansea,Newcastle,2,0
2,Tottenham,Stoke,2,2
2,Watford,West Brom,0,0
2,West Ham,Leicester,1,2
2,Crystal Palace,Arsenal,1,2
2,Man City,Chelsea,3,0
2,Liverpool,Bournemouth,1,0
3,Crystal Palace,Aston Villa,2,1
3,Leicester,Tottenham,1,1
3,Man United,Newcastle,0,0
3,Norwich,Stoke,1,1
3,Sunderland,Swansea,1,1
3,West Ham,Bournemouth,3,4
3,Everton,Man City,0,2
3,Watford,Southampton,0,0
3,West Brom,Chelsea,2,3
3,Arsenal,Liverpool,0,0
4,Aston Villa,Sunderland,2,2
4,Bournemouth,Leicester,1,1
4,Chelsea,Crystal Palace,1,2
4,Liverpool,West Ham,0,3
4,Man City,Watford,2,0
4,Newcastle,Arsenal,0,1
4,Stoke,West Brom,0,1
4,Tottenham,Everton,0,0
4,Southampton,Norwich,3,0
4,Swansea,Man United,2,1
5,Arsenal,Stoke,2,0
5,Crystal Palace,Man City,0,1
5,Everton,Chelsea,3,1
5,Man United,Liverpool,3,1
5,Norwich,Bournemouth,3,1
5,Watford,Swansea,1,0
5,West Brom,Southampton,0,0
5,Leicester,Aston Villa,3,2
5,Sunderland,Tottenham,0,1
5,West Ham,Newcastle,2,0
6,Aston Villa,West Brom,0,1
6,Bournemouth,Sunderland,2,0
6,Chelsea,Arsenal,2,0
6,Man City,West Ham,1,2
6,Newcastle,Watford,1,2
6,Stoke,Leicester,2,2
6,Swansea,Everton,0,0
6,Liverpool,Norwich,1,1
6,Southampton,Man United,2,3
6,Tottenham,Crystal Palace,1,0
7,Leicester,Arsenal,2,5
7,Liverpool,Aston Villa,3,2
7,Man United,Sunderland,3,0
7,Newcastle,Chelsea,2,2
7,Southampton,Swansea,3,1
7,Stoke,Bournemouth,2,1
7,Tottenham,Man City,4,1
7,West Ham,Norwich,2,2
7,Watford,Crystal Palace,0,1
7,West Brom,Everton,2,3
8,Aston Villa,Stoke,0,1
8,Bournemouth,Watford,1,1
8,Chelsea,Southampton,1,3
8,Crystal Palace,West Brom,2,0
8,Man City,Newcastle,6,1
8,Norwich,Leicester,1,2
8,Sunderland,West Ham,2,2
8,Arsenal,Man United,3,0
8,Everton,Liverpool,1,1
8,Swansea,Tottenham,2,2
9,Chelsea,Aston Villa,2,0
9,Crystal Palace,West Ham,1,3
9,Everton,Man United,0,3
9,Man City,Bournemouth,5,1
9,Southampton,Leicester,2,2
9,Tottenham,Liverpool,0,0
9,Watford,Arsenal,0,3
9,West Brom,Sunderland,1,0
9,Newcastle,Norwich,6,2
9,Swansea,Stoke,0,1
10,Arsenal,Everton,2,1
10,Aston Villa,Swansea,1,2
10,Leicester,Crystal Palace,1,0
10,Norwich,West Brom,0,1
10,Stoke,Watford,0,2
10,West Ham,Chelsea,2,1
10,Bournemouth,Tottenham,1,5
10,Liverpool,Southampton,1,1
10,Man United,Man City,0,0
10,Sunderland,Newcastle,3,0
11,Chelsea,Liverpool,1,3
11,Crystal Palace,Man United,0,0
11,Man City,Norwich,2,1
11,Newcastle,Stoke,0,0
11,Swansea,Arsenal,0,3
11,Watford,West Ham,2,0
11,West Brom,Leicester,2,3
11,Everton,Sunderland,6,2
11,Southampton,Bournemouth,2,0
11,Tottenham,Aston Villa,3,1
12,Bournemouth,Newcastle,0,1
12,Leicester,Watford,2,1
12,Man United,West Brom,2,0
12,Norwich,Swansea,1,0
12,Stoke,Chelsea,1,0
12,Sunderland,Southampton,0,1
12,West Ham,Everton,1,1
12,Arsenal,Tottenham,1,1
